ax,ay,az
50,-289,50
23,-287,45
-307,25
-351
56,-269,-72
2,-267,-95
73,-288,40
40,-286,46
-306,25
11,-269,-90
-386
91,-278,-15
72,-288,44
23,-289,44
-379
-384
87,-283,0
59,-291,50
-301,3
-356
-385
10,-264,-92
59,-268,-70
45,-292,48
10,-291,44
58,-287,42
-368
-370
16,-265,-90
38,-268,-82
75,-271,-55
90,-276,-9
-286,39
-318,11
-355
-300,31
-363
28,-263,-86
52,-266,-77
55,-265,-75
60,-266,-71
72,-270,-59
42,-291,48
7,-287,41
-311,24
-314,16
-313,2
-305,28
-323,6
35,-266,-85
32,-265,-86
-289,4
-382
67,-267,-66
-338
-373
39,-266,-84
17,-290,45
44,-291,49
-318,17
-387
-387
20,-264,-93
88,-272,-19
81,-273,-33
63,-288,48
-300,35
20,-292,45
-315,17
31,-290,48
6,-286,40
-313,2
33,-289,47
-312,2
-381
-374
33,-263,-88
77,-286,40
62,-289,52
-348
9,-266,-94
23,-265,-92
90,-282,13
22,-289,47
28,-292,50
-357
-340
-384
65,-266,-68
67,-265,-67
63,-290,52
-351
-373
53,-266,-81
65,-290,53
46,-294,52
-370
41,-264,-86
65,-266,-69
64,-291,52
-351
-375
71,-266,-66
30,-292,52
-310,28
16,-265,-95
85,-275,-49
-301,32
-376
45,-267,-85
39,-293,51
-375
7,-263,-96
73,-286,48
11,-288,46
0,-263,-99
66,-290,53
-297,39
17,-264,-95
41,-293,56
-332
84,-271,-51
71,-288,45
-379
94,-275,-23
71,-287,47
-373
92,-274,-25
67,-289,49
-373
87,-274,-36
67,-289,47
-385
79,-283,30
14,-289,50
-368
78,-282,34
38,-293,51
-386
5,-263,-99
75,-286,42
-373
-382
85,-284,21
-354
-389
84,-282,24
26,-291,52
3,-260,-101
51,-292,54
-315,19
49,-265,-83
24,-290,51
-327,6
42,-263,-85
96,-274,-13
-321,16
46,-265,-83
94,-275,-15
-304,33
-366
67,-265,-69
17,-288,52
-360
92,-274,-31
-362
15,-266,-99
-288,48
-390
42,-294,57
33,-265,-93
81,-283,40
-388
68,-287,54
-386
45,-264,-85
17,-289,51
-377
88,-282,15
-390
62,-264,-76
-319,21
-381
62,-291,54
-380
79,-269,-57
-318,2
74,-265,-64
66,-290,57
-378
91,-276,-32
-363
94,-277,-18
39,-292,56
4,-260,-102
38,-292,56
-371
90,-282,15
-293,45
60,-267,-79
-318,21
-382
64,-289,53
-391
24,-263,-95
45,-293,54
-310,3
34,-263,-93
39,-292,55
-329,5
73,-267,-68
-314,29
-381
25,-292,55
54,-265,-84
66,-289,53
-383
83,-272,-50
-331,4
92,-274,-30
34,-292,56
34,-263,-95
-304,37
-394
65,-290,54
-317,19
82,-269,-55
-335
-371
40,-291,57
-352
87,-273,-46
-313,25
-380
91,-274,-31
-302,33
-369
79,-267,-57
88,-284,20
-336
38,-262,-89
82,-271,-52
24,-289,52
-390
16,-265,-98
60,-288,54
-293,42
13,-265,-96
59,-289,55
-302,35
11,-289,50
-364
89,-271,-37
-314,23
-391
87,-282,0
-326,11
-383
79,-267,-57
92,-279,-5
-304,34
15,-266,-99
90,-274,-36
-327,11
-388
74,-288,45
-379
-380
79,-282,34
-364
-387
92,-278,-6
65,-290,54
-392
89,-283,1
37,-292,54
2,-261,-103
42,-294,55
-346
89,-272,-44
60,-289,55
-392
81,-282,34
23,-290,52
-382
44,-265,-87
57,-287,53
-378
-389
89,-280,-2
-318,2
-377
89,-270,-42
-300,37
-368
87,-270,-52
-294,43
-367
86,-271,-49
80,-282,31
-373
85,-270,-47
87,-284,20
-326,9
-375
75,-265,-68
21,-290,52
-326,1
62,-264,-78
8,-290,48
-371
92,-274,-37
67,-288,50
-385
93,-273,-15
70,-288,48
-375
92,-272,-34
67,-289,51
-389
45,-266,-87
-289,45
41,-266,-90
88,-280,5
-371
93,-277,-4
25,-292,55
28,-265,-94
