ax,ay,az
20,-279,-20
20,-278,-20
19,-276,-21
18,-277,-20
20,-278,-20
19,-277,-22
21,-277,-20
18,-278,-20
20,-276,-22
21,-277,-20
19,-276,-20
18,-277,-20
18,-278,-22
19,-277,-20
20,-276,-20
18,-277,-20
18,-279,-21
19,-278,-20
19,-275,-23
19,-276,-20
19,-277,-21
20,-277,-20
19,-276,-21
18,-278,-21
17,-276,-22
19,-277,-21
20,-277,-21
18,-276,-23
19,-276,-22
19,-278,-20
18,-277,-22
20,-276,-20
19,-277,-21
20,-278,-21
20,-278,-20
19,-276,-23
19,-278,-21
20,-277,-20
18,-277,-22
18,-277,-23
20,-278,-22
18,-277,-19
21,-277,-19
20,-277,-19
17,-277,-20
19,-277,-20
21,-277,-22
17,-277,-21
21,-278,-20
20,-279,-19
19,-277,-22
18,-279,-21
18,-276,-21
18,-277,-20
20,-277,-19
20,-278,-20
16,-277,-22
20,-276,-21
19,-279,-22
18,-278,-22
20,-278,-20
17,-277,-22
18,-278,-21
21,-276,-18
20,-277,-20
19,-279,-20
18,-278,-21
18,-278,-22
19,-276,-20
19,-277,-21
19,-277,-21
19,-278,-21
18,-276,-19
19,-278,-21
19,-277,-20
17,-278,-22
18,-278,-22
19,-277,-22
21,-276,-19
17,-276,-20
18,-279,-22
19,-278,-21
19,-279,-23
20,-278,-20
20,-278,-21
20,-277,-23
17,-277,-23
18,-277,-20
19,-277,-22
18,-280,-20
18,-278,-21
19,-277,-19
17,-276,-22
19,-276,-19
18,-278,-21
18,-276,-20
18,-277,-21
20,-278,-22
17,-278,-21
18,-277,-18
18,-276,-21
20,-278,-21
18,-277,-22
19,-276,-21
20,-278,-21
19,-278,-22
20,-277,-21
21,-276,-20
18,-277,-20
18,-277,-19
18,-277,-19
18,-279,-20
47,-222,-43
22,-275,-19
20,-277,-18
20,-277,-20
19,-279,-20
18,-277,-21
21,-277,-18
18,-278,-22
18,-277,-21
20,-280,-21
19,-278,-20
19,-278,-20
19,-277,-20
17,-278,-20
18,-279,-22
17,-278,-21
19,-276,-20
20,-276,-21
20,-277,-20
19,-278,-21
22,-277,-21
20,-278,-23
18,-277,-21
19,-276,-19
19,-278,-21
19,-278,-22
19,-279,-14
14,-286,-23
18,-275,-21
20,-280,-20
20,-278,-20
20,-277,-20
18,-278,-21
19,-279,-21
18,-277,-22
19,-278,-20
19,-277,-20
19,-275,-21
18,-278,-21
19,-277,-22
18,-275,-22
18,-278,-21
18,-278,-19
18,-277,-22
20,-278,-20
19,-277,-20
18,-276,-23
18,-277,-20
20,-276,-23
20,-277,-20
20,-277,-19
19,-277,-19
19,-276,-22
18,-276,-21
17,-277,-22
19,-278,-22
18,-278,-20
20,-276,-20
19,-279,-21
20,-278,-22
18,-276,-19
18,-277,-21
18,-278,-20
20,-277,-20
19,-277,-21
20,-277,-19
18,-278,-20
20,-276,-19
19,-276,-21
19,-278,-19
21,-277,-20
18,-276,-20
19,-276,-20
19,-277,-20
19,-277,-22
20,-278,-21
19,-277,-21
20,-278,-21
19,-278,-22
19,-279,-20
19,-279,-21
18,-276,-22
20,-276,-21
18,-279,-22
20,-276,-22
17,-277,-22
19,-279,-20
19,-278,-22
18,-279,-21
19,-277,-21
19,-278,-20
20,-279,-19
18,-279,-19
20,-278,-21
